Max threads 48
1	1	8.332711
1	2	8.332791
1	3	8.332360
1	4	8.332363
1	5	8.332078
1	6	8.332653
1	7	8.332773
1	8	8.331940
1	9	8.332493
1	10	8.331630
2	1	6.599356
2	2	6.597897
2	3	6.598423
2	4	6.598126
2	5	6.598448
2	6	6.598184
2	7	6.597470
2	8	6.597822
2	9	6.597478
2	10	6.598563
3	1	4.617290
3	2	3.549693
3	3	2.983312
3	4	2.978154
3	5	2.981804
3	6	2.962296
3	7	2.994568
3	8	3.032010
3	9	3.000857
3	10	3.012248
4	1	2.288968
4	2	2.247017
4	3	2.257988
4	4	2.255517
4	5	2.265766
4	6	2.236773
4	7	2.239453
4	8	2.256068
4	9	2.270132
4	10	2.246784
5	1	1.830944
5	2	1.812378
5	3	1.829556
5	4	1.817224
5	5	1.843948
5	6	1.819603
5	7	1.812998
5	8	1.837681
5	9	1.830416
5	10	1.811995
6	1	1.528900
6	2	1.531292
6	3	1.542849
6	4	1.531841
6	5	1.526712
6	6	1.525936
6	7	1.525885
6	8	1.525821
6	9	1.560120
6	10	1.542023
7	1	1.312228
7	2	1.349913
7	3	1.339077
7	4	1.350815
7	5	1.325758
7	6	1.313511
7	7	1.315776
7	8	1.338729
7	9	1.339858
7	10	1.329654
8	1	1.178812
8	2	1.159962
8	3	1.169898
8	4	1.152152
8	5	1.165762
8	6	1.165601
8	7	1.157616
8	8	1.175956
8	9	1.163695
8	10	1.151577
9	1	1.042297
9	2	1.037254
9	3	1.028771
9	4	1.023003
9	5	1.030899
9	6	1.025019
9	7	1.034864
9	8	1.034793
9	9	1.029011
9	10	1.028953
10	1	0.940950
10	2	0.921815
10	3	0.913340
10	4	0.928189
10	5	0.912982
10	6	0.920821
10	7	0.920204
10	8	0.931729
10	9	0.915285
10	10	0.925148
11	1	0.862649
11	2	0.836412
11	3	0.836462
11	4	0.836205
11	5	0.836833
11	6	0.836521
11	7	0.836354
11	8	0.846065
11	9	0.855032
11	10	0.865960
12	1	0.810479
12	2	0.794870
12	3	0.810087
12	4	0.811307
12	5	0.792720
12	6	0.785873
12	7	0.792069
12	8	0.782741
12	9	0.786472
12	10	0.810040
13	1	0.751499
13	2	0.759143
13	3	0.753464
13	4	0.759023
13	5	0.743342
13	6	0.740602
13	7	0.754572
13	8	0.747898
13	9	0.738932
13	10	0.735390
14	1	0.685847
14	2	0.685834
14	3	0.695857
14	4	0.709804
14	5	0.709910
14	6	0.696219
14	7	0.688219
14	8	0.699002
14	9	0.685756
14	10	0.688462
15	1	0.663157
15	2	0.646581
15	3	0.649787
15	4	0.647014
15	5	0.640992
15	6	0.643805
15	7	0.653461
15	8	0.643584
15	9	0.644697
15	10	0.641167
16	1	0.618133
16	2	0.601845
16	3	0.601691
16	4	0.622216
16	5	0.610762
16	6	0.614250
16	7	0.606007
16	8	0.618732
16	9	0.622048
16	10	0.629378
17	1	0.586644
17	2	0.584513
17	3	0.578395
17	4	0.578846
17	5	0.581040
17	6	0.580727
17	7	0.589855
17	8	0.588872
17	9	0.574236
17	10	0.569847
18	1	0.537436
18	2	0.541897
18	3	0.543208
18	4	0.537174
18	5	0.539554
18	6	0.537293
18	7	0.556652
18	8	0.546941
18	9	0.542765
18	10	0.555433
19	1	0.524999
19	2	0.515606
19	3	0.507360
19	4	0.514249
